"id","Label"
"1","Hegedűs Loránt"
"2","Péchy Blanka"
"3","Egyed István"
"4","Bethlen István "
"5","Chorin Ferenc "
"6","Dr. Biró Pál  "
"7","Dr. Fenyő Miksa "
"8","Van den Eynde Hector "
"9","Szurday Róbert  "
"10","Bonnerjea René"
"11","Budai László"
"12","Eckhart Ferenc "
"13","Róth Flóris"
"14","Csáky István "
"15","Deszberg Antal"
"16","Domanovszky Sándor "
"17","Grósz Emil "
"18","Mályusz Elemér "
"19","Kelemen Lajos"
"20","Frischmann I. Frigyes"
"21","Austen Chamberlain"
"22","Kováts Ferenc "
"23","Jánossy Dénes "
"24","Reimann Ernő"
"25","Armstrong Hamilton Fish "
"26","Bárczy István "
"27","Schmidt Sándor"
"28","Liptai József"
"29","Apponyi Albert "
"30","Bud János"
"31","Adorján Sándor "
"32","Kacziány Géza "
"33","Navratil Ákos"
"34","Angyal Dávid "
"35","Császár Károly "
"36","Falu Tamás"
"37","Berchtold Lipót"
"38","Daily Mail"
"39","Edison NY"
"40","Petőfi Társaság"
"41","Korányi Frigyes "
"42","Gaál Gaszton "
"43","Gróf Csáky Károly"
"44","Jászai Mari"
"45","Wlassics Gyula "
"46","Scitovsky Tibor"
"47","Chaillet Pierre"
"48","Clerk George"
"49","Gratz Gusztáv"
"50","Berzeviczy Albert "
"51","Choncha Győző"
"52","Eötvös Károly Lajos"
"53","Tarnay János"
"54","Tisza István"
"55","Duka Tivadar"
"56","Vass József"
"57","Baráth Ferenc"
"58","Babits Mihály"
"59","Makkai László"
"60","Gr. Mailáth József"
"61","Dr. Laurentzy Vilmos "
"62","Harsányi Zsolt"
"63","Dr. Kerekes György"
"64","General Press"
"65","Móra Ferenc"
"66","Móricz Zsigmond"
"67","Nagy Endre"
"68","Németh Antal"
"69","The North American Review"
"70","Horánszky Dezső "
"71","OMKE"
"72","Sieghardt Rudolf"
"73","The Royal Institute of International Affairs "
"74","Éber Antal"
"75","Réz Margit"
"76","Ravasz László"
"77","Rákos Jenő"
"78","Ravasz Árpád"
"79","báró Kohner Adolf"
"80","Sándor Pál"
"81","Schöpflin Aladár"
"82","Sebestyén R."
"83","Dr. Ripka Ferenc"
"84","Sík Sándor"
"85","Herbert Spencer"
"86","László Béla "
"87","Teleszky János "
"88","Reimann Lázár "
"89","Heinrich Ferenc"
"90","gróf Andrássy Gyula"
"91","Teleki Pál"
"92","Herczeg Ferenc"
"93","Khuen-Héderváry Károly"
"94","Fellner Henrik"
"95","Zita (IV. Károly felesége)"
"96","Tisza Kálmán"
"97","Bácskai-Payerle Béla"
"98","Roten Kreuzes"
"99","Szirmay gróf"
"100","Kiss de Nemeskér"
"101","Bánffy"
"102","Kerekes"
"103","Vargha Gyula"
"104","Emund J Horwarth"
"105","Daily Papers"
"106","Grover A Whalen"
"107","Sydney Edward Mezes"
"108","S.Y. Sapphire"
"109","Szekfű Gyula"
"110","Szent Györgyi Albert "
"111","Szilágyi Dezső"
"112","Szivessy Lehel"
"113","Vikár Béla "
"114","Adolph Wagner "
"115","Wanamaker"
"116","Washington White House"
"117","Wolkenberg Alajos "
"118","Niamessny Mihály"
"119","Fáskerti Tibor"
"120","Kornis Gyula"
"121","Schimanek Emil"
"122","Balla Antal"
"123","Fellner Frigyes"
"124","Fenyő Miksa"
"125","Koós Zoltán"
"126","Ifj. Leopold Lajos"
"127","Neumann Károly"
"128","Kőhalmi Béla "
"129","Ottlik György"
"130","Surányi Unger Tivadar"
"131","Kállay Tibor"
"132","Róz Jenő"
"133","Judik József"
"134","Rubinek Gyula"
"135","Somssich László"
"136","Hoyos Miksa"
"137","Sugár Ottó"
"138","Emil Georg von Stauss "
"139","Wekerle Sándor"
"140","Torday Ferenc"
"141","Fabinyi Tihamér"
"142","Gajzágó László"
"143","Weisz Fülöp"
"144","Ádám Lajos"
"145","Brunner "
"146","Balkányi Kálmán "
"147","Rothermere "
"148","Thomas Edison"
"149","Hammersmith"
"150","Harrach Béla"
"151","Gáspár Jenő"
"152","Gyulai Pál"
"153","Gulácsy P."
"154","Harsányi Lajos"
"155","Voinovich"
"156","Hóman Bálint"
"157","Horváth János"
"158","Illyés Gyula"
"159","Julián Egyesület"
"160","Végh Jenő"
"161","Némethy Károly"
"162","Légrády Ottó"
"163","Nicholas Roosevelt"
"164","Kautz Gyula"
"165","Kiss Emil "
"166","Kozma Andor"
"167","Márkus Mika"
"168","Mandelló Gyula"
"169","Haller István"
"170","Benárd Ágost"
"171","Csáky Imre"
"172","Hegyeshalmy Lajos"
"173","Tomcsányi Vilmos Pál"
"174","Nagyatádi Szabó István"
"175","Sréter István"
"176","Belitska Sándor"
"177","Báró Wlassics Gyula"
"178","Gróf Forgách Antal"
"179","Dr. Papp József"
"180","Propper Ardberg Bernhard "
"181","Ady Endre"
"182","Asbóth Emil"
"183","Darányi Ignác"
"184","Goldberger Leo"
"185","Matlekovits Sándor"
"186","Krausz Simon"
