"Source","Target","Type","Id"
"1","2","undirected","1"
"1","3","undirected","2"
"1","5","undirected","3"
"1","6","undirected","4"
"1","7","undirected","5"
"1","8","undirected","6"
"1","9","undirected","7"
"1","10","undirected","8"
"1","11","undirected","9"
"1","13","undirected","10"
"1","14","undirected","11"
"1","15","undirected","12"
"1","16","undirected","13"
"1","17","undirected","14"
"1","18","undirected","15"
"1","19","undirected","16"
"1","20","undirected","17"
"1","21","undirected","18"
"1","22","undirected","19"
"1","23","undirected","20"
"1","24","undirected","21"
"1","25","undirected","22"
"1","26","undirected","23"
"1","27","undirected","24"
"1","28","undirected","25"
"1","29","undirected","26"
"1","31","undirected","27"
"1","32","undirected","28"
"1","33","undirected","29"
"1","34","undirected","30"
"1","35","undirected","31"
"1","36","undirected","32"
"1","37","undirected","33"
"1","41","undirected","34"
"1","42","undirected","35"
"1","43","undirected","36"
"1","44","undirected","37"
"1","45","undirected","38"
"1","46","undirected","39"
"1","47","undirected","40"
"1","48","undirected","41"
"1","50","undirected","42"
"1","51","undirected","43"
"1","52","undirected","44"
"1","53","undirected","45"
"1","54","undirected","46"
"1","55","undirected","47"
"1","56","undirected","48"
"1","57","undirected","49"
"1","58","undirected","50"
"1","59","undirected","51"
"1","61","undirected","52"
"1","62","undirected","53"
"1","63","undirected","54"
"1","65","undirected","55"
"1","66","undirected","56"
"1","67","undirected","57"
"1","68","undirected","58"
"1","70","undirected","59"
"1","72","undirected","60"
"1","74","undirected","61"
"1","75","undirected","62"
"1","76","undirected","63"
"1","77","undirected","64"
"1","78","undirected","65"
"1","79","undirected","66"
"1","80","undirected","67"
"1","81","undirected","68"
"1","82","undirected","69"
"1","83","undirected","70"
"1","84","undirected","71"
"1","85","undirected","72"
"1","86","undirected","73"
"1","87","undirected","74"
"1","88","undirected","75"
"1","89","undirected","76"
"1","90","undirected","77"
"1","91","undirected","78"
"1","92","undirected","79"
"1","93","undirected","80"
"1","94","undirected","81"
"1","95","undirected","82"
"1","96","undirected","83"
"1","97","undirected","84"
"1","99","undirected","85"
"1","100","undirected","86"
"1","103","undirected","87"
"1","108","undirected","88"
"1","109","undirected","89"
"1","110","undirected","90"
"1","111","undirected","91"
"1","112","undirected","92"
"1","113","undirected","93"
"1","114","undirected","94"
"1","115","undirected","95"
"1","117","undirected","96"
"1","118","undirected","97"
"1","119","undirected","98"
"1","120","undirected","99"
"1","121","undirected","100"
"1","122","undirected","101"
"1","123","undirected","102"
"1","125","undirected","103"
"1","126","undirected","104"
"1","127","undirected","105"
"1","128","undirected","106"
"1","129","undirected","107"
"1","130","undirected","108"
"1","131","undirected","109"
"1","132","undirected","110"
"1","133","undirected","111"
"1","134","undirected","112"
"1","135","undirected","113"
"1","136","undirected","114"
"1","137","undirected","115"
"1","138","undirected","116"
"1","139","undirected","117"
"1","140","undirected","118"
"1","141","undirected","119"
"1","142","undirected","120"
"1","143","undirected","121"
"1","146","undirected","122"
"1","147","undirected","123"
"1","148","undirected","124"
"1","150","undirected","125"
"1","151","undirected","126"
"1","152","undirected","127"
"1","154","undirected","128"
"1","155","undirected","129"
"1","156","undirected","130"
"1","157","undirected","131"
"1","158","undirected","132"
"1","160","undirected","133"
"1","161","undirected","134"
"1","162","undirected","135"
"1","163","undirected","136"
"1","164","undirected","137"
"1","165","undirected","138"
"1","166","undirected","139"
"1","167","undirected","140"
"1","168","undirected","141"
"1","169","undirected","142"
"1","170","undirected","143"
"1","171","undirected","144"
"1","172","undirected","145"
"1","173","undirected","146"
"1","174","undirected","147"
"1","175","undirected","148"
"1","176","undirected","149"
"1","178","undirected","150"
"1","179","undirected","151"
"1","180","undirected","152"
"1","182","undirected","153"
"1","183","undirected","154"
"1","184","undirected","155"
"1","185","undirected","156"
"1","186","undirected","157"
"4","30","undirected","158"
"4","43","undirected","159"
"4","49","undirected","160"
"4","50","undirected","161"
"4","53","undirected","162"
"4","56","undirected","163"
"4","70","undirected","164"
"4","72","undirected","165"
"4","74","undirected","166"
"4","79","undirected","167"
"4","83","undirected","168"
"4","88","undirected","169"
"4","89","undirected","170"
"4","90","undirected","171"
"4","94","undirected","172"
"4","177","undirected","173"
"4","178","undirected","174"
"4","179","undirected","175"
"5","6","undirected","176"
"5","7","undirected","177"
"5","8","undirected","178"
"5","9","undirected","179"
"5","11","undirected","180"
"5","13","undirected","181"
"5","20","undirected","182"
"5","24","undirected","183"
"5","27","undirected","184"
"5","30","undirected","185"
"5","43","undirected","186"
"5","46","undirected","187"
"5","49","undirected","188"
"5","50","undirected","189"
"5","53","undirected","190"
"5","56","undirected","191"
"5","70","undirected","192"
"5","72","undirected","193"
"5","74","undirected","194"
"5","79","undirected","195"
"5","83","undirected","196"
"5","88","undirected","197"
"5","89","undirected","198"
"5","90","undirected","199"
"5","94","undirected","200"
"5","184","undirected","201"
"6","7","undirected","202"
"6","8","undirected","203"
"6","9","undirected","204"
"6","11","undirected","205"
"6","13","undirected","206"
"6","15","undirected","207"
"6","20","undirected","208"
"6","24","undirected","209"
"6","27","undirected","210"
"6","30","undirected","211"
"6","43","undirected","212"
"6","46","undirected","213"
"6","49","undirected","214"
"6","50","undirected","215"
"6","53","undirected","216"
"6","56","undirected","217"
"6","70","undirected","218"
"6","72","undirected","219"
"6","74","undirected","220"
"6","79","undirected","221"
"6","83","undirected","222"
"6","88","undirected","223"
"6","89","undirected","224"
"6","90","undirected","225"
"6","94","undirected","226"
"6","177","undirected","227"
"6","178","undirected","228"
"6","179","undirected","229"
"7","8","undirected","230"
"7","9","undirected","231"
"7","11","undirected","232"
"7","13","undirected","233"
"7","15","undirected","234"
"7","20","undirected","235"
"7","24","undirected","236"
"7","27","undirected","237"
"7","30","undirected","238"
"7","43","undirected","239"
"7","46","undirected","240"
"7","49","undirected","241"
"7","50","undirected","242"
"7","53","undirected","243"
"7","56","undirected","244"
"7","70","undirected","245"
"7","72","undirected","246"
"7","74","undirected","247"
"7","79","undirected","248"
"7","83","undirected","249"
"7","88","undirected","250"
"7","89","undirected","251"
"7","90","undirected","252"
"7","94","undirected","253"
"7","177","undirected","254"
